"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 14:30:01 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","126","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","getPetsByStatus","Find pets by status",""
"passed","Thu Jan 25 14:30:18 GMT 2024","Thu Jan 25 14:30:32 GMT 2024","14468","","e2e Web Tests","","tests.V4HorseCouponTest","placeBetOnV4Race","placeBetOnV4Race()",""
"passed","Thu Jan 25 14:30:01 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","120","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","getPetById","Find a pet by id",""
"passed","Thu Jan 25 14:29:58 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","2964","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","updateAPet","Updates an existing pet in the store",""
"passed","Thu Jan 25 14:29:58 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","2966","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","createAPet","Add a new pet to the store",""
"passed","Thu Jan 25 14:29:58 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","2214","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","updatePetByIdWithFormData","Updates a pet with form data",""
"passed","Thu Jan 25 14:30:01 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","201","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","uploadImageToPet","Upload an image for a pet",""
"passed","Thu Jan 25 14:29:58 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","2964","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","deletePetByIdFails","Fails to delete a pet by id on second attempt",""
"passed","Thu Jan 25 14:29:58 GMT 2024","Thu Jan 25 14:30:01 GMT 2024","2965","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","deletePetById","Delete a pet by id",""
