"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 13:44:33 GMT 2024","Thu Jan 25 13:44:37 GMT 2024","3851","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","deletePetById","Delete a pet by id",""
"passed","Thu Jan 25 13:44:33 GMT 2024","Thu Jan 25 13:44:36 GMT 2024","3307","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","createAPet","Add a new pet to the store",""
"passed","Thu Jan 25 13:44:36 GMT 2024","Thu Jan 25 13:44:37 GMT 2024","774","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","uploadImageToPet","Upload an image for a pet",""
"passed","Thu Jan 25 13:44:36 GMT 2024","Thu Jan 25 13:44:37 GMT 2024","657","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","getPetById","Find a pet by id",""
"passed","Thu Jan 25 13:44:37 GMT 2024","Thu Jan 25 13:44:37 GMT 2024","654","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","getPetsByStatus","Find pets by status",""
"passed","Thu Jan 25 13:45:16 GMT 2024","Thu Jan 25 13:45:35 GMT 2024","18422","","e2e Web Tests","","tests.V4HorseCouponTest","placeBetOnV4Race","placeBetOnV4Race()",""
"passed","Thu Jan 25 13:44:33 GMT 2024","Thu Jan 25 13:44:37 GMT 2024","3133","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","updatePetByIdWithFormData","Updates a pet with form data",""
"passed","Thu Jan 25 13:44:33 GMT 2024","Thu Jan 25 13:44:36 GMT 2024","3519","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","updateAPet","Updates an existing pet in the store",""
"passed","Thu Jan 25 13:44:33 GMT 2024","Thu Jan 25 13:44:37 GMT 2024","3858","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","deletePetByIdFails","Fails to delete a pet by id on second attempt",""
