"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 18:00:34 GMT 2024","Thu Jan 25 18:00:36 GMT 2024","2412","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","createAPet","Add a new pet to the store",""
"passed","Thu Jan 25 18:00:34 GMT 2024","Thu Jan 25 18:00:37 GMT 2024","3048","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","deletePetByIdFails","Fails to delete a pet by id on second attempt",""
"passed","Thu Jan 25 18:00:36 GMT 2024","Thu Jan 25 18:00:37 GMT 2024","785","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","uploadImageToPet","Upload an image for a pet",""
"passed","Thu Jan 25 18:00:35 GMT 2024","Thu Jan 25 18:00:37 GMT 2024","2314","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","updatePetByIdWithFormData","Updates a pet with form data",""
"passed","Thu Jan 25 18:00:34 GMT 2024","Thu Jan 25 18:00:37 GMT 2024","3050","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","deletePetById","Delete a pet by id",""
"passed","Thu Jan 25 18:00:54 GMT 2024","Thu Jan 25 18:01:10 GMT 2024","15306","","e2e Web Tests","","tests.V4HorseCouponTest","placeBetOnV4Race","placeBetOnV4Race()",""
"passed","Thu Jan 25 18:00:36 GMT 2024","Thu Jan 25 18:00:37 GMT 2024","725","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","getPetById","Find a pet by id",""
"passed","Thu Jan 25 18:00:37 GMT 2024","Thu Jan 25 18:00:38 GMT 2024","756","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","getPetsByStatus","Find pets by status",""
"passed","Thu Jan 25 18:00:34 GMT 2024","Thu Jan 25 18:00:36 GMT 2024","2682","","Pet Endpoint Tests","","petstore.tests.PetEndpointsTest","updateAPet","Updates an existing pet in the store",""
